Name,Type,Primary Mechanism / Class
GDF-8 (Myostatin Propeptide),Peptide,Inhibitory Domain Compound
Selank,Peptide,Synthetic Tuftsin Neurological Analog
Semax,Peptide,ACTH Fragment Neuro-Regulatory Peptide
Noopept,Nootropic,Peptide-Derived Synthetic Nootropic Agent
Cerebrolysin,Peptide Mix,Porcine Brain Derived Neuropeptide Complex
MOTS-c,Peptide,Mitochondrial-Derived Metabolic Regulatory Peptide
Humanin,Peptide,Mitochondrial Cytoprotective Peptide Sequence
SS-31 (Elamipretide),Peptide,Mitochondrial Inner-Membrane Target Peptide
FoxO4-DRI,Peptide,Senolytic Apoptosis-Inducing Peptide Sequence
KPV,Peptide,Anti-Inflammatory Tripeptide Sequence (Alpha-MSH Core)
Vilon,Peptide,Epiphysis Regulatory Dipeptide Sequence
GHK-Cu,Peptide,Copper-Binding Tripeptide Skin/Tissue Matrix
LL-37,Peptide,Antimicrobial Human Cathelicidin Peptide
CJC-1295 Base,Peptide,Modified GRF Sequence Structural Core
Hexamin,Peptide,Experimental Cardiovascular Regenerative Chain
Thymopentin (TP-5),Peptide,Immunomodulatory Active Fragment of Thymopoietin
Splenopentin (SP-5),Peptide,Splenic Derived Immunomodulator
Adipotide (FTPP),Peptide,Targeted Fat Cell Vascular Apoptosis Sequence
Amylin,Peptide,Neuroendocrine Pancreatic Hormone Peptide
Pramlintide,Peptide,Synthetic Amylin Analog for Glucose Control
Leptin,Peptide,Adipose-Derived Satiety Signaling Peptide
Kisspeptin-10,Peptide,Hypothalamic GnRH Pulse Regulator Sequence
Gonadorelin (GnRH),Peptide,Direct Gonadotropin-Releasing Hormone Chain
Leuprolide Acetate,Peptide,GnRH Agonist Over-Stimulator (Suppressive)
Triptorelin,Peptide,Ultra-Potent GnRH Agonist Variant
Cetrorelix,Peptide,Direct GnRH Receptor Antagonist
Ganirelix,Peptide,Synthetic GnRH Antagonist Sequence
Oxytocin,Peptide,Hypothalamic Neurohypophysial Neuropeptide
Vasopressin,Peptide,Antidiuretic Endocrine Chain Peptide
Desmopressin,Peptide,Synthetic Vasopressin Structural Analogue
Argireline (Acetyl Hexapeptide-8),Peptide,Topical Neurotransmitter Blocker Sequence
Snap-8,Peptide,Extended Octapeptide Neuromuscular Modulator
Matrixyl 3000,Peptide Mix,Palmitoyl Oligopeptide Skin Structure Chain
Copper Peptide GHK,Peptide,Uncomplexed Structural Tissue Tripeptide
DsIP (Delta Sleep-Inducing Peptide),Peptide,Somnogenic Neurological Regulatory Peptide
Epithalon Acetate,Peptide,Synthesized Telomere Base Pair Restorer
Alarelin Acetate,Peptide,Synthetic LHRH Agonist Pentadecapeptide
Buserelin,Peptide,Antineoplastic LHRH Analog Chain
Goserelin,Peptide,Injectable Gonadotropin Suppressive Matrix
Histrelin,Peptide,Nonapeptide Gonadotropin Releasing Agent
Nafarelin,Peptide,Decapeptide Pituitary Stimulating Variant
Sermorelin Acetate,Peptide,Pure Acetate Salt of GHRH 1-29
Teduglutide,Peptide,Glucagon-Like Peptide-2 (GLP-2) Enteric Analog
Liraglutide,Peptide,Fatty-Acid Acylated GLP-1 Receptor Agonist
Exenatide,Peptide,Incretin Mimetic Derived from Gila Monster Saliva
Ziconotide,Peptide,N-type Calcium Channel Blocker (Omega-Conotoxin)
Linaclotide,Peptide,Guanylate Cyclase-C Agonist Peptidic Complex
Plecanatide,Peptide,Fourteen-Amino Acid Gastrointestinal Cyclic Peptide
Secretin,Peptide,Gastrointestinal Regulating Peptide Sequence
Cholecystokinin (CCK-8),Peptide,Satiety and Digestive Peptide Sequence
Gastrin,Peptide,Gastric Acid Secretion Peptide Inducer
Glucagon,Peptide,Pancreatic Counter-Regulatory Counterpart to Insulin
Insulin Lispro (Humalog),Peptide,Rapid-Acting Synthetic Human Insulin
Insulin Aspart (Novolog),Peptide,Rapid-Acting Recombinant Insulin Variant
Insulin Glulisine (Apidra),Peptide,Rapid-Acting Structurally Altered Insulin
Insulin Regular (Humulin R),Peptide,Short-Acting Zinc-Stabilized Human Insulin
Insulin NPH (Humulin N),Peptide,Intermediate-Acting Isophane Insulin
Insulin Glargine (Lantus),Peptide,Long-Acting Micro-Precipitating Base Insulin
Insulin Detemir (Levemir),Peptide,Long-Acting Fatty-Acid Bound Insulin
Insulin Degludec (Tresiba),Peptide,Ultra-Long Multi-Hexamer Forming Insulin
Salcatonin (Calcitonin Salmon),Peptide,Thyroid Derived Calcium Balancing Peptide
Teriparatide,Peptide,Recombinant Human Parathyroid Hormone Fragment 1-34
Abaloparatide,Peptide,Parathyroid Hormone-Related Protein Analog
Romidepsin,Peptide,Bicyclic Peptide Histone Deacetylase Inhibitor
Octreotide,Peptide,Synthetic Somatostatin Mimic Octapeptide
Lanreotide,Peptide,Long-Acting Somatostatin Inhibitory Analog
Pasireotide,Peptide,Multi-Receptor Somatostatin Variant Complex
Pasireotide Pamoate,Peptide,Extended Release Cyclopeptide Salt Form
Angiotensin II,Peptide,Vasoconstrictor Octapeptide Cardiovascular Loop
Nesiritide,Peptide,Recombinant B-type Natriuretic Peptide (BNP)
Bivalirudin,Peptide,Specific Direct Thrombin Inhibitor Hirudin Analog
Eptifibatide,Peptide,Cyclic Heptapeptide Platelet Aggregation Inhibitor
Agiolin,Peptide,Experimental Microvascular Circulation Peptide
Thymosin Alpha-1 (Zadaxin),Peptide,T-Cell Function Restoring Immunomodulator
Tuftsin,Peptide,Splenic Tetrapeptide Phagocytosis Stimulator
Rigin,Peptide,Synthetic IgG Fragment Anti-Inflammatory Chain
Imunofan,Peptide,Regulatory Hexapeptide T-Cell Stabilizer
Goralatide,Peptide,Tetrapeptide Stem Cell Migration Inhibitor
Hemorphin-7,Peptide,Opioid Receptor Binding Hemoglobin Fragment
Beta-Casomorphin,Peptide,Exogenous Dietary Milk Derived Opioid Peptide
Enkephalin (Met-Enkephalin),Peptide,Endogenous Pentapeptide Opioid Agonist
Leu-Enkephalin,Peptide,Endogenous Leucine-Ending Opioid Sequence
Dynorphin A,Peptide,Endogenous Kappa-Opioid Selective Chain
Beta-Endorphin,Peptide,Endogenous Pro-opiomelanocortin Derived Neuropeptide
Alpha-Endorphin,Peptide,Short Endorphin Segment Chain Sequence
Gamma-Endorphin,Peptide,Modified Endorphin Central Activity Variant
Substance P,Peptide,Tachykinin Neurokinin-1 Receptor Activator (Pain)
Neurokinin A,Peptide,Endogenous Bronchoconstrictor Peptide Chain
Neurokinin B,Peptide,Hypothalamic Reproduction Signaling Peptide
Neuropeptide Y,Peptide,36-Amino Acid Orexigenic Brain Peptide
Agouti-Related Peptide (AgRP),Peptide,Melanocortin Receptor Antagonist (Appetite)
Orexin-A (Hypocretin-1),Peptide,Arousal and Wakefulness Signaling Neuropeptide
Orexin-B,Peptide,Hypocretin Secondary Target Peptide Chain
Galanin,Peptide,Inhibitory Neurotransmitter Peptide Sequence
Somatostatin-14,Peptide,Endogenous Growth Hormone Inhibiting Factor
Somatostatin-28,Peptide,Extended Structural Isoform of Somatostatin
Motilin,Peptide,Gastrointestinal Interdigestive Cleansing Agonist
Ghrelin (Acylated),Peptide,Active Hunger Stimulating Octanoylated Chain
Ghrelin (Unacylated),Peptide,Circulating Inactive Metabolic Des-Acyl Ghrelin
Obestatin,Peptide,Ghrelin Gene Counterpart Appetite Suppressor
Pancreatic Polypeptide,Peptide,PP-Receptor Satiety Signaling Molecule
Peptide YY (PYY 3-36),Peptide,Y2 Receptor Mediated Appetite Reducer
Enterostatin,Peptide,Procolipase Activation Product (Fat Satiety)
Neuromedin U,Peptide,Contractile Anorexigenic Brain-Gut Peptide
Neuromedin S,Peptide,Circadian Rhythm Core Regulator Peptide
Bombesin,Peptide,Amphibian Derived Gastrin Releasing Analogue
Gastrin-Releasing Peptide (GRP),Peptide,Human Bombesin Homologue Chain
Calcimededin,Peptide,Experimental Skeletal Calcium Density Complex
Parathyroid Hormone (PTH 1-84),Peptide,Full Length Bone-Remodeling Endocrine Chain
Calcitonin,Peptide,Parafollicular Calcium Homeostasis Chain
Adrenomedullin,Peptide,Vasodilator Hypotensive Peptide Compound
Endothelin-1,Peptide,Endothelial Derived Vasoconstrictor Isoform
Endothelin-2,Peptide,Vascular Constricting Structural Variant
Endothelin-3,Peptide,Neuroendocrine Tissue Vasoconstrictor Chain
Bradykinin,Peptide,Inflammatory Vasodilator Nonapeptide Chain
Kallidin (Lys-Bradykinin),Peptide,Tissue-Kallikrein Generated Decapeptide
Atrial Natriuretic Peptide (ANP),Peptide,Cardiac Fluid Volume Reduction Hormone
Brain Natriuretic Peptide (BNP-32),Peptide,Ventricular Volume Homeostasis Complex
C-Type Natriuretic Peptide (CNP),Peptide,Vascular Endothelial Autocrine Sequence
Guanylin,Peptide,Intestinal Chloride Secretion Intracellular Loop
Uroguanylin,Peptide,Renal and Intestinal Fluid Regulator Chain
Lymphokine IL-2,Peptide,Recombinant Interleukin-2 T-Cell Trophoblast
Erythropoietin (EPO),Glycoprotein,Red Blood Cell Production Stimulator
Darbepoetin Alfa,Glycoprotein,Extended Half-Life Erythropoiesis Variant
Peginesatide,Peptide,Pegylated Mimetic Peptide Erythropoietin Agonist
Thrombopoietin,Glycoprotein,Megakaryocyte Proliferation Inducer (Platelets)
Romiplostim,Peptide-Fc,Peptibody Class Platelet Production Stimulator
Eltrombopag,Small Molecule,Non-Peptide Thrombopoietin Receptor Agonist
Filgrastim (G-CSF),Protein,Granulocyte Colony-Stimulating Factor (WBCs)
Pegfilgrastim,Protein,Pegylated Granulocyte Colony Stimulator
Sargramostim (GM-CSF),Protein,Granulocyte-Macrophage Colony Stimulator
Oprelvekin (IL-11),Peptide,Recombinant Interleukin-11 Platelet Recovery
Anakinra,Protein,Interleukin-1 Receptor Antagonist (IL-1Ra)
Canakinumab,Peptide,Anti-IL-1 Beta Monoclonal Antibody
Tocilizumab,Peptide,IL-6 Receptor Target Monoclonal Antibody
Secukinumab,Peptide,Interleukin-17A Targeted Monoclonal Antibody
Ustekinumab,Peptide,Dual IL-12 and IL-23 Inhibiting Antibody
Adalimumab (Humira),Peptide,Anti-TNF Alpha Recombinant Monoclonal Antibody
Infliximab (Remicade),Peptide,Chimeric Anti-TNF Alpha Antibody Complex
Etanercept (Enbrel),Protein-Fc,TNF Receptor Fusion Protein Blocker
Abatacept,Protein-Fc,T-Cell Costimulation Modulator Fusion Protein
Belatacept,Protein-Fc,Modified High-Affinity T-Cell Fusion Complex
Rituximab,Peptide,Anti-CD20 B-Cell Depleting Monoclonal Antibody
Trastuzumab (Herceptin),Peptide,HER2 Receptor Targeted Monoclonal Antibody
Bevacizumab (Avastin),Peptide,VEGF Targeting Angiogenesis Inhibitor Monoclonal
Cetuximab,Peptide,EGFR Signal Blocker Monoclonal Antibody
Panitumumab,Peptide,Fully Human EGFR Specific Monoclonal Antibody
Denosumab (Prolia),Peptide,RANKL Targeting Osteoclast Inhibitor Monoclonal
Omalizumab (Xolair),Peptide,Anti-IgE Mast-Cell Stabilizing Antibody
Reslizumab,Peptide,Anti-IL-5 Eosinophilic Asthmatic Antibody
Mepolizumab,Peptide,Humanized IL-5 Targeting Monoclonal Chain
Benralizumab,Peptide,IL-5 Receptor Alpha Target Antibody Complex
Dupilumab (Dupixent),Peptide,Dual IL-4 and IL-13 Receptor Antagonist Monoclonal
Vedolizumab,Peptide,Alpha-4-Beta-7 Integrin Gut-Selective Monoclonal
Natalizumab,Peptide,Alpha-4 Integrin Cell Adhesion Molecule Blocker
Eculizumab,Peptide,Terminal Complement Protein C5 Targeted Inhibitor
Ravulizumab,Peptide,Long-Acting Terminal Complement C5 Monoclonal
Eranumab,Peptide,CGRP Receptor Migraine Preventive Monoclonal
Fremanezumab,Peptide,Calcitonin Gene-Related Peptide Ligand Antibody
Galcanezumab,Peptide,CGRP Ligand Specific Preventive Monoclonal
Eptinezumab,Peptide,Intravenous CGRP Targeting Preventative Monoclonal
Teplizumab,Peptide,Anti-CD3 T-Cell Response Modifying Monoclonal
Inotuzumab Ozogamicin,Peptide-Drug,CD22 Targeted Antibody-Drug Conjugate
Brentuximab Vedotin,Peptide-Drug,CD30 Targeted Antineoplastic Conjugate
Gemtuzumab Ozogamicin,Peptide-Drug,CD33 Targeted Cytotoxic Conjugate
Polatuzumab Vedotin,Peptide-Drug,CD79b Specific Cleavable Conjugate Complex
Enfortumab Vedotin,Peptide-Drug,Nectin-4 Specific Monoclonal Conjugate
Sacituzumab Govitecan,Peptide-Drug,Trop-2 Targeted Topoisomerase Conjugate
Trastuzumab Deruxtecan,Peptide-Drug,HER2 Specific Topoisomerase-1 Inhibitor Conjugate
Moxetumomab Pasudotox,Peptide-Toxin,CD22 Specific Immunotoxin Fusion Fragment
Tagraxofusp,Peptide-Toxin,CD123 Targeted Diphtheria Toxin Fusion Protein
Denileukin Diftitox,Peptide-Toxin,IL-2 Receptor Target Diphtheria Toxin Hybrid
Blinatumomab,Bispecific,CD19 / CD3 Bispecific T-Cell Engager (BiTE)
Amivantamab,Bispecific,EGFR / c-Met Dual Specific Monoclonal Antibody
Teclistamab,Bispecific,B-cell Maturation Antigen (BCMA) Dual Engager
Glofitamab,Bispecific,CD20 / CD3 T-Cell T-Cell Recruiting Bispecific monoclona
Mosunetuzumab,Bispecific,CD20 / CD3 T-Cell Directing Structural Antibody
Epcoritamab,Bispecific,Subcutaneous CD20/CD3 T-Cell Engager Bispecific
Faricimab,Bispecific,VEGF-A / Angiopoietin-2 Dual Retinal Pathway Neutralizer
Teprotumumab,Peptide,IGF-1 Receptor Antagonist Monoclonal Antibody
Margetuximab,Peptide,Fc-Optimized HER2 Targeted Monoclonal Chain
Ranibizumab (Lucentis),Peptide Fragment,VEGF-A Targeted Monoclonal Antigen-Binding Fragment
Pegaptanib,Aptamer,Pegylated Anti-VEGF RNA Oligonucleotide
Aflibercept (Eylea),Protein-Fc,VEGF Trap Recombinant Fusion Protein
Belimumab,Peptide,B-Lymphocyte Stimulator (BLyS) Specific Monoclonal
Anifrolumab,Peptide,Type I Interferon Receptor Antagonist Antibody
Ibalizumab,Peptide,CD4-Directed Post-Attachment HIV Inhibitor Monoclonal
Maraviroc,Small Molecule,CCR5 Coreceptor Antagonist (Non-Peptide Entry Inhibitor)
Enfuvirtide (T-20),Peptide,Biomimetic 36-Amino Acid HIV Fusion Inhibitor
Fostemsavir,Small Molecule,gp120 Directed Attachment Inhibitor Prodrug
Icatibant,Peptide,Selective Bradykinin B2 Receptor Antagonist Peptidic
Lanadelumab,Peptide,Plasma Kallikrein Inhibiting Monoclonal Antibody
Berotralstat,Small Molecule,Oral Plasma Kallikrein Inhibitor
Asfotase Alfa,Protein-Fc,Tissue Non-Specific Alkaline Phosphatase Fusion Protein
Sebelipase Alfa,Protein,Recombinant Lysosomal Acid Lipase Enzyme
Alglucosidase Alfa,Protein,Recombinant Human Lysosomal Alpha-Glucosidase
Galsulfase,Protein,Recombinant Arylsulfatase B Human Enzyme
Idursulfase,Protein,Recombinant Human Iduronate-2-Sulfatase
Elosulfase Alfa,Protein,Recombinant Human N-acetylgalactosamine-6-sulfatase
Vestronidase Alfa,Protein,Recombinant Human Beta-Glucuronidase
Velmanase Alfa,Protein,Recombinant Human Alpha-Mannosidase
Olipudase Alfa,Protein,Recombinant Human Acid Sphingomyelinase Enzyme
Pegvaliase,Peptide-Enzyme,Pegylated Recombinant Phenylalanine Ammonia Lyase
Pegademase Bovine,Peptide-Enzyme,Adenosine Deaminase Enzyme Complex
Elapegademase,Peptide-Enzyme,Recombinant Adenosine Deaminase Replacement
Agalsidase Beta,Protein,Recombinant Human Alpha-Galactosidase A
Imiglucerase,Protein,Recombinant Macrophage-Targeted Glucocerebrosidase
Velaglucerase Alfa,Protein,Gene-Activated Human Glucocerebrosidase Replacement
Taliglucerase Alfa,Protein,Plant-Cell Expressed Recombinant Glucocerebrosidase
Miglustat,Small Molecule,Oral Substrate Reduction Glucosylceramide Synthase Inhibitor
Eliglustat,Small Molecule,Potent Ceramide Glucosyltransferase Inhibitor
Sapropterin Dihydrochloride,Small Molecule,Synthetic BH4 Cofactor
Glycerol Phenylbutyrate,Small Molecule,Nitrogen Scavenging Prodrug Agent
Sodium Phenylbutyrate,Small Molecule,Urea Cycle Disorder Management Salt
Carglumic Acid,Small Molecule,N-Acetylglutamate Synthase Structural Analogue
Trientine Hydrochloride,Small Molecule,Copper Chelating Pyridine Derivative
Penicillamine,Small Molecule,Thiol-Based Copper Chelator / Heavy Metal Complex
Deferasirox,Small Molecule,Orally Active Tridentate Iron Chelator
Deferiprone,Small Molecule,Orally Active Bidentate Iron Binding Agent
Deferoxamine,Small Molecule,Bacterial Derived Hexadentate Iron Chelating Agent
Voxelotor,Small Molecule,Sickle Hemoglobin Affinity Modulator (Anti-Sickling)
Crizanlizumab,Peptide,P-Selectin Inhibitor Vaso-Occlusive Monoclonal Antibody
Mitapivat,Small Molecule,Pyruvate Kinase Allosteric Activator Agent
Luspatercept,Protein-Fc,Modified Activin Receptor Type IIB Fusion Trap
Sotatercept,Protein-Fc,Activin Receptor Type IIA Fusion Trap (PAH Control)
Riociguat,Small Molecule,Soluble Guanylyl Cyclase (sGC) Direct Stimulator
Selexipag,Small Molecule,Oral Non-Prostanoid IP Prostacyclin Receptor Agonist
Treprostinil,Small Molecule,Prostacyclin Vasodilator Analogue Complex
Iloprost,Small Molecule,Inhaled Prostacyclin Structural Analogue
Epoprostenol,Small Molecule,Intravenous Synthetic Prostacyclin Base
Bosentan,Small Molecule,Dual Endothelin Receptor (ETA/ETB) Antagonist
Ambrisentan,Small Molecule,Selective Endothelin Type A (ETA) Antagonist
Macitentan,Small Molecule,Tissue-Targeted Dual Endothelin Receptor Antagonist
Sildenafil (Revatio/Viagra),Small Molecule,Phosphodiesterase-5 (PDE5) Inhibitor
Tadalafil (Adcirca/Cialis),Small Molecule,Long-Acting Phosphodiesterase-5 Inhibitor
Vardenafil,Small Molecule,Selective Phosphodiesterase-5 Inhibitor Base
Avanafil,Small Molecule,Rapid-Onset Phosphodiesterase-5 Inhibitor Agent
Mecamylamine,Small Molecule,Nicotinic Acetylcholine Receptor Ganglionic Blocker
Hexamethonium,Small Molecule, Ganglionic Nicotinic Antagonist Outlier
Trimethaphan Camsylate,Small Molecule,Short-Acting Intravenous Ganglionic Blocker
